2026-08-17 01:31:45,842 | INFO     | main:670 | Processing batch 23/282 (32 profiles)...
2026-08-17 01:32:29,081 | DEBUG    | main:744 |   Processed 5/32 in batch 23
2026-08-17 01:32:29,082 | DEBUG    | main:744 |   Processed 10/32 in batch 23
2026-08-17 01:32:29,082 | DEBUG    | main:744 |   Processed 15/32 in batch 23
2026-08-17 01:32:29,083 | DEBUG    | main:744 |   Processed 20/32 in batch 23
2026-08-17 01:32:29,083 | DEBUG    | main:744 |   Processed 25/32 in batch 23
2026-08-17 01:32:29,083 | DEBUG    | main:744 |   Processed 30/32 in batch 23
2026-08-17 01:32:29,084 | INFO     | main:670 | Processing batch 24/282 (32 profiles)...
2026-08-17 01:33:11,848 | DEBUG    | main:744 |   Processed 5/32 in batch 24
2026-08-17 01:33:11,849 | DEBUG    | main:744 |   Processed 10/32 in batch 24
2026-08-17 01:33:11,849 | DEBUG    | main:744 |   Processed 15/32 in batch 24
2026-08-17 01:33:11,850 | DEBUG    | main:744 |   Processed 20/32 in batch 24
2026-08-17 01:33:11,850 | DEBUG    | main:744 |   Processed 25/32 in batch 24
2026-08-17 01:33:11,851 | DEBUG    | main:744 |   Processed 30/32 in batch 24
2026-08-17 01:33:11,851 | INFO     | main:670 | Processing batch 25/282 (32 profiles)...
2026-08-17 01:33:54,633 | DEBUG    | main:744 |   Processed 5/32 in batch 25
2026-08-17 01:33:54,633 | DEBUG    | main:744 |   Processed 10/32 in batch 25
2026-08-17 01:33:54,634 | DEBUG    | main:744 |   Processed 15/32 in batch 25
2026-08-17 01:33:54,634 | DEBUG    | main:744 |   Processed 20/32 in batch 25
2026-08-17 01:33:54,635 | DEBUG    | main:744 |   Processed 25/32 in batch 25
2026-08-17 01:33:54,635 | DEBUG    | main:744 |   Processed 30/32 in batch 25
2026-08-17 01:33:54,635 | INFO     | main:670 | Processing batch 26/282 (32 profiles)...
2026-08-17 01:34:38,032 | DEBUG    | main:744 |   Processed 5/32 in batch 26
2026-08-17 01:34:38,032 | DEBUG    | main:744 |   Processed 10/32 in batch 26
2026-08-17 01:34:38,033 | DEBUG    | main:744 |   Processed 15/32 in batch 26
2026-08-17 01:34:38,033 | DEBUG    | main:744 |   Processed 20/32 in batch 26
